matID,P,A,S,S_category,C,NODFst,N_lowHigh,NODFc,rho_mean0,rho_mean1,fPersP0,fPersP1,criterion_check0,criterion_check1
849,44,160,204,3,0.061648,1.8883,1,4.820680849,0.0484279109005278,0.0487361206902775,0.545454545454545,0.977272727272727,1,1
850,47,149,196,3,0.069684,1.2828,1,2.739965273,0.0492330474834618,0.049224721730772,0.702127659574468,0.957446808510638,1,1
851,57,168,225,3,0.070175,1.4048,1,2.786151416,0.0507150022219287,0.0504781469687645,0.421052631578947,0.929824561403509,1,1
852,59,174,233,3,0.073154,1.6044,1,2.976716132,0.0496012908983042,0.050477805189427,0.457627118644068,0.864406779661017,1,1
853,51,175,226,3,0.087507,1.1246,1,2.120394809,0.0507291588972993,0.0506398383879714,0.529411764705882,0.941176470588235,1,1
854,49,156,205,3,0.059524,2.2766,1,6.681344049,0.0503361590010741,0.0505675733253164,0.244897959183673,0.836734693877551,1,1
855,65,168,233,3,0.079853,1.3354,1,2.402944128,0.0510489739749818,0.0506993288068873,0.430769230769231,0.8,1,1
856,51,166,217,3,0.077723,1.3243,1,2.626752565,0.0503663528068677,0.0502881540518042,0.470588235294118,0.96078431372549,1,1
857,58,163,221,3,0.066533,1.6744,1,3.421727478,0.0494102887404804,0.0493950902392099,0.431034482758621,0.931034482758621,1,1
858,46,170,216,3,0.085806,1.24,1,2.43153369,0.0506039135734822,0.0500472497413502,0.58695652173913,0.978260869565217,1,1
859,53,156,209,3,0.070876,1.4302,1,2.840376546,0.050451337661355,0.0500491664493075,0.566037735849057,0.962264150943396,1,1
860,51,114,165,3,0.064499,1.4609,1,3.202838543,0.049174561100404,0.0503514288622461,0.450980392156863,0.823529411764706,1,1
861,45,158,203,3,0.083404,1.1582,1,2.335404595,0.0506172024418017,0.0500300268171752,0.666666666666667,0.955555555555556,1,1
862,45,109,154,3,0.072579,1.5198,1,3.387608224,0.0504342063259108,0.0490640267844095,0.533333333333333,0.844444444444444,1,1
863,45,159,204,3,0.078966,0.91502,1,1.918672562,0.0500567388592886,0.0498049443335161,0.688888888888889,1,1,1
864,61,67,128,2,0.10472,1.2006,1,2.530832162,0.0498522694853738,0.0499435820472969,0.39344262295082,0.672131147540984,1,1
865,42,170,212,3,0.04902,2.0417,1,8.339095775,0.0501739584639088,0.0499892128845421,0.404761904761905,0.833333333333333,1,1
866,62,154,216,3,0.072476,1.3584,1,2.622342526,0.0491740658522133,0.0493267984575455,0.419354838709677,0.870967741935484,1,1
867,55,81,136,2,0.041975,2.0364,1,10.56602738,0.0505363575026535,0.0503972864656927,0.218181818181818,0.490909090909091,1,1
868,52,173,225,3,0.077034,1.3182,1,2.59187378,0.0500372927073031,0.0499525982069298,0.557692307692308,0.923076923076923,1,1
869,62,158,220,3,0.063904,1.8962,1,3.924465333,0.0508037250277582,0.0501849153583879,0.370967741935484,0.82258064516129,1,1
870,68,156,224,3,0.080128,1.2825,1,2.300992884,0.0496832412698802,0.0501232444173354,0.441176470588235,0.764705882352941,1,1
871,56,170,226,3,0.068697,1.9639,1,4.359147667,0.0503222895234647,0.0493168356796818,0.285714285714286,0.928571428571429,1,1
